Product Name,SKU,Collection Name,Production Cost,Revenue,Profit
Vase (1),PCV-ML-KN7SS-01,Petit Ceramics Collection,13.05,25.0,11.95
Lily Vase,LVC-CC-KN7SS-00,Lily Vase Collection,25.26,40.0,14.74
